state,Confirmed_Cases,Confirmed_Death,Month,Year
Montana,33495.0,376.0,11,2020
Nevada,217509.0,0.0,12,2020
North Dakota,803.0,0.0,4,2020
Alabama,2217.0,19.0,3,2020
North Carolina,215819.0,3896.0,10,2020
Wisconsin,70009.0,1081.0,8,2020
Maryland,0.0,2419.0,5,2020
Alabama,138765.0,3391.0,9,2020
Delaware,342.0,0.0,3,2020
Michigan,112195.0,5996.0,6,2020
New Hampshire,0.0,0.0,5,2020
North Carolina,5827.0,158.0,4,2020
Idaho,2520.0,62.0,5,2020
Indiana,0.0,1035.0,4,2020
California,84287.0,3333.0,5,2020
Nebraska,0.0,0.0,8,2020
Wisconsin,57779.0,978.0,8,2020
Guam,0.0,0.0,7,2020
Delaware,21214.0,574.0,10,2020
Illinois,206081.0,7744.0,8,2020
U.S. Virgin Islands,0.0,0.0,10,2020
Maine,5442.0,145.0,10,2020
Guam,0.0,0.0,3,2020
Michigan,221634.0,6821.0,10,2020
Michigan,177074.0,6431.0,8,2020
Mississippi,110153.0,3349.0,11,2020
California,910608.0,18060.0,10,2020
Wisconsin,267410.0,2312.0,11,2020
Illinois,759562.0,12830.0,12,2020
Connecticut,34059.0,2524.0,5,2020
Maryland,0.0,24.0,3,2020
Connecticut,0.0,0.0,2,2020
Washington,0.0,0.0,7,2020
Missouri,0.0,0.0,1,2020
Nevada,106922.0,0.0,11,2020
New Hampshire,0.0,0.0,4,2020
Idaho,116717.0,1269.0,12,2020
U.S. Virgin Islands,0.0,0.0,5,2020
Alabama,29843.0,1017.0,6,2020
Wisconsin,54002.0,947.0,8,2020
Connecticut,48887.0,3569.0,8,2020
Michigan,172503.0,6393.0,8,2020
Washington,0.0,0.0,9,2020
Maine,0.0,0.0,2,2020
Maryland,0.0,2174.0,5,2020
Nevada,103025.0,0.0,11,2020
Indiana,0.0,3467.0,9,2020
Guam,0.0,0.0,12,2020
New Hampshire,0.0,0.0,10,2020
Montana,612.0,19.0,6,2020
Connecticut,0.0,0.0,2,2020
Connecticut,146114.0,4414.0,12,2020
Montana,478.0,16.0,5,2020
North Dakota,28245.0,0.0,10,2020
New Hampshire,0.0,0.0,3,2020
Wisconsin,50179.0,906.0,7,2020
Nevada,0.0,0.0,4,2020
California,826002.0,16864.0,9,2020
North Dakota,1225.0,0.0,5,2020
Illinois,0.0,0.0,2,2020
Nebraska,0.0,0.0,9,2020
Nebraska,0.0,0.0,12,2020
Indiana,0.0,4556.0,11,2020
Mississippi,11562.0,756.0,5,2020
Delaware,1206.0,0.0,4,2020
California,1887085.0,25071.0,12,2020
Washington,0.0,0.0,4,2020
North Dakota,679.0,0.0,4,2020
New Hampshire,0.0,0.0,3,2020
Vermont,0.0,0.0,3,2020
Illinois,930849.0,15799.0,12,2020
Vermont,0.0,0.0,9,2020
California,816783.0,16661.0,9,2020
Indiana,0.0,3294.0,9,2020
Idaho,0.0,0.0,3,2020
Indiana,0.0,0.0,2,2020
Washington,0.0,0.0,11,2020
Illinois,178837.0,7495.0,7,2020
Mississippi,84834.0,2767.0,9,2020
Wisconsin,0.0,0.0,3,2020
Delaware,23761.0,608.0,10,2020
Connecticut,82854.0,3807.0,11,2020
Idaho,1507.0,41.0,4,2020
Illinois,0.0,0.0,2,2020
Nebraska,0.0,0.0,9,2020
Michigan,106791.0,5954.0,6,2020
Idaho,0.0,0.0,3,2020
Connecticut,0.0,0.0,2,2020
New Hampshire,0.0,0.0,4,2020
North Dakota,14443.0,0.0,9,2020
Vermont,0.0,0.0,10,2020
Alabama,102751.0,2376.0,8,2020
Wisconsin,110828.0,1274.0,9,2020
Connecticut,0.0,0.0,3,2020
Nebraska,0.0,0.0,8,2020
Delaware,7972.0,301.0,5,2020
Connecticut,31955.0,2294.0,5,2020
Idaho,0.0,0.0,4,2020
Wisconsin,130798.0,1372.0,10,2020
Idaho,2203.0,73.0,5,2020
Nevada,67220.0,0.0,8,2020
Mississippi,35032.0,1463.0,7,2020
Illinois,275735.0,8457.0,9,2020
Delaware,17635.0,537.0,9,2020
Michigan,0.0,0.0,1,2020
Maryland,0.0,2723.0,6,2020
U.S. Virgin Islands,0.0,0.0,5,2020
Delaware,136.0,0.0,3,2020
Michigan,0.0,0.0,2,2020
Washington,0.0,0.0,12,2020
Illinois,283885.0,8563.0,9,2020
Montana,666.0,20.0,6,2020
California,0.0,0.0,1,2020
North Carolina,80715.0,1539.0,7,2020
Washington,0.0,0.0,3,2020
Nebraska,0.0,0.0,8,2020
Montana,71870.0,805.0,12,2020
Idaho,26091.0,245.0,8,2020
Guam,0.0,0.0,10,2020
Guam,0.0,0.0,4,2020
Connecticut,53218.0,3597.0,9,2020
Michigan,231495.0,6947.0,10,2020
North Carolina,186810.0,3317.0,9,2020
Maine,3012.0,107.0,7,2020
Alabama,24427.0,910.0,6,2020
Washington,0.0,0.0,2,2020
Michigan,165770.0,6333.0,8,2020
Idaho,2947.0,65.0,6,2020
Mississippi,36919.0,1509.0,7,2020
North Carolina,187412.0,3339.0,9,2020
Washington,0.0,0.0,12,2020
Indiana,0.0,3653.0,9,2020
Nevada,0.0,0.0,2,2020
Illinois,697489.0,11963.0,11,2020
Idaho,89739.0,927.0,12,2020
Illinois,297646.0,8743.0,10,2020
North Carolina,466316.0,6726.0,12,2020
Washington,0.0,0.0,7,2020
Maine,2861.0,104.0,6,2020
Maryland,0.0,3823.0,9,2020
California,1006599.0,18859.0,11,2020
Alabama,7.0,0.0,1,2020
Idaho,27815.0,278.0,8,2020
North Dakota,89525.0,0.0,12,2020
Washington,0.0,0.0,4,2020
California,44867.0,1662.0,4,2020
Michigan,460582.0,10039.0,12,2020
Missouri,0.0,0.0,7,2020
Indiana,0.0,3401.0,9,2020
North Dakota,585.0,0.0,4,2020
Idaho,32228.0,375.0,9,2020
Nebraska,0.0,0.0,7,2020
North Dakota,48301.0,0.0,11,2020
Michigan,169097.0,6364.0,8,2020
Missouri,0.0,0.0,8,2020
California,734279.0,14718.0,8,2020
Montana,1371.0,23.0,7,2020
Mississippi,4338.0,310.0,4,2020
Alabama,46412.0,1258.0,7,2020
Delaware,8437.0,322.0,5,2020
Washington,0.0,0.0,3,2020
Illinois,149432.0,7099.0,7,2020
Nevada,0.0,0.0,4,2020
Montana,14283.0,186.0,10,2020
Delaware,18187.0,545.0,9,2020
Maryland,0.0,4191.0,11,2020
Montana,967.0,22.0,6,2020
North Dakota,73397.0,0.0,11,2020
Indiana,0.0,1814.0,5,2020
Nebraska,0.0,0.0,3,2020
North Carolina,6203.0,181.0,4,2020
Wisconsin,48827.0,892.0,7,2020
Maine,19129.0,321.0,12,2020
Mississippi,3981.0,282.0,4,2020
California,923701.0,18196.0,10,2020
Montana,1843.0,32.0,7,2020
Mississippi,188.0,14.0,3,2020
Missouri,0.0,0.0,9,2020
Illinois,295440.0,8696.0,10,2020
Missouri,0.0,0.0,2,2020
New Hampshire,0.0,0.0,4,2020
Maine,10675.0,213.0,11,2020
Nevada,0.0,0.0,1,2020
Indiana,0.0,4392.0,10,2020
Idaho,0.0,0.0,3,2020
Idaho,42260.0,464.0,10,2020
Guam,0.0,0.0,6,2020
Illinois,198593.0,7672.0,8,2020
Washington,0.0,0.0,8,2020
Alabama,118556.0,2867.0,8,2020
Missouri,0.0,0.0,2,2020
Wisconsin,10219.0,400.0,5,2020
Illinois,261371.0,8309.0,9,2020
Maryland,0.0,2972.0,6,2020
Connecticut,42557.0,3308.0,6,2020
Mississippi,121409.0,3603.0,11,2020
Alabama,25889.0,938.0,6,2020
Alabama,40922.0,1190.0,6,2020
Guam,0.0,0.0,3,2020
Wisconsin,4845.0,246.0,4,2020
Wisconsin,25331.0,750.0,6,2020
California,905958.0,18017.0,10,2020
Delaware,14794.0,517.0,8,2020
Guam,0.0,0.0,9,2020
Maryland,0.0,4012.0,10,2020
Maine,9916.0,189.0,11,2020
Missouri,0.0,0.0,5,2020
Illinois,796264.0,13343.0,12,2020
Wisconsin,22932.0,694.0,6,2020
Nevada,6906.0,0.0,5,2020
Nevada,6857.0,0.0,5,2020
Washington,0.0,0.0,12,2020
U.S. Virgin Islands,0.0,0.0,4,2020
Nevada,0.0,0.0,4,2020
Washington,0.0,0.0,4,2020
Alabama,148007.0,3578.0,10,2020
U.S. Virgin Islands,0.0,0.0,5,2020
North Dakota,10467.0,0.0,8,2020
Guam,0.0,0.0,8,2020
Illinois,841688.0,14176.0,12,2020
Vermont,0.0,0.0,7,2020
Nebraska,0.0,0.0,11,2020
Missouri,0.0,0.0,11,2020
Montana,47158.0,520.0,11,2020
Delaware,260.0,0.0,3,2020
Nevada,0.0,0.0,3,2020
Nevada,59749.0,0.0,8,2020
California,510.0,256.0,2,2020
Vermont,0.0,0.0,11,2020
Missouri,0.0,0.0,6,2020
Alabama,86072.0,1910.0,7,2020
New Hampshire,0.0,0.0,6,2020
Connecticut,48887.0,3569.0,8,2020
Nebraska,0.0,0.0,6,2020
North Carolina,54223.0,1285.0,6,2020
Connecticut,162449.0,4686.0,12,2020
Alabama,136811.0,3359.0,9,2020
Missouri,0.0,0.0,5,2020
California,364115.0,7753.0,7,2020
Connecticut,45308.0,3476.0,7,2020
Vermont,0.0,0.0,2,2020
Nevada,80410.0,0.0,10,2020
U.S. Virgin Islands,0.0,0.0,5,2020
Alabama,1499.0,3.0,3,2020
North Dakota,0.0,0.0,3,2020
Maryland,0.0,3456.0,7,2020
Delaware,10.0,0.0,3,2020
Maryland,0.0,0.0,3,2020
Mississippi,92844.0,2970.0,10,2020
Delaware,3261.0,79.0,4,2020
North Dakota,36874.0,0.0,10,2020
Nevada,78355.0,0.0,9,2020
Idaho,101477.0,1058.0,12,2020
Connecticut,63376.0,3674.0,10,2020
Indiana,0.0,568.0,4,2020
Wisconsin,23454.0,712.0,6,2020
Mississippi,90182.0,2912.0,9,2020
Connecticut,51594.0,3589.0,9,2020
Alabama,154921.0,3695.0,10,2020
U.S. Virgin Islands,0.0,0.0,5,2020
California,332747.0,7359.0,7,2020
Guam,0.0,0.0,11,2020
Vermont,0.0,0.0,12,2020
Wisconsin,5911.0,272.0,4,2020
Michigan,184816.0,6499.0,8,2020
Washington,0.0,0.0,10,2020
Nebraska,0.0,0.0,10,2020
Alabama,133560.0,3297.0,9,2020
Washington,0.0,0.0,7,2020
Maryland,0.0,3609.0,8,2020
Wisconsin,58768.0,990.0,8,2020
Nevada,92064.0,0.0,10,2020
Nevada,85399.0,0.0,10,2020
Indiana,0.0,8904.0,12,2020
California,1051095.0,19126.0,11,2020
Indiana,0.0,1318.0,5,2020
Montana,0.0,0.0,3,2020
Alabama,207134.0,4376.0,11,2020
Maryland,0.0,3129.0,6,2020
Nebraska,0.0,0.0,9,2020
Connecticut,0.0,0.0,4,2020
Nebraska,0.0,0.0,12,2020
Michigan,94187.0,5743.0,6,2020
Alabama,290336.0,5620.0,12,2020
Guam,0.0,0.0,9,2020
Missouri,0.0,0.0,3,2020
Nebraska,0.0,0.0,12,2020
Missouri,0.0,0.0,10,2020
U.S. Virgin Islands,0.0,0.0,8,2020
Indiana,0.0,4901.0,11,2020
Vermont,0.0,0.0,3,2020
North Dakota,6602.0,0.0,7,2020
Montana,3965.0,60.0,7,2020
